id_pekerjaan,nama_pekerjaan,target_segment,target_nama,hop_dari_pekerjaan,panjang_m,road_class,jumlah_lajur,volume_baseline,speed_baseline,delta_volume,delta_speed,congestion,catatan
CT01,Jalan Raya M. Toha (Karawaci),562928275,,0,373.1,residential,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
CT01,Jalan Raya M. Toha (Karawaci),1443846332,,0,306.1,living_street,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
CT01,Jalan Raya M. Toha (Karawaci),256835105,,0,302.3,tertiary,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
CT01,Jalan Raya M. Toha (Karawaci),562928374,,0,160.1,service,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
CT01,Jalan Raya M. Toha (Karawaci),562964243,,0,157.1,service,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
CT01,Jalan Raya M. Toha (Karawaci),566853977,,0,155.6,service,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
CT01,Jalan Raya M. Toha (Karawaci),431508087,,0,148.9,living_street,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
CT01,Jalan Raya M. Toha (Karawaci),1288238292,,0,137.9,living_street,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
CT01,Jalan Raya M. Toha (Karawaci),256835024,Jalan Benua Raya,0,136.2,tertiary,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
CT01,Jalan Raya M. Toha (Karawaci),565201256,Jalan Empang 2,0,130.5,living_street,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
CT01,Jalan Raya M. Toha (Karawaci),562964237,,0,128.3,residential,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
CT01,Jalan Raya M. Toha (Karawaci),1284112203,Gang Abah Na'ain,0,127.9,living_street,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
CT01,Jalan Raya M. Toha (Karawaci),565201297,Gang Setia Warga 2,0,127.6,residential,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
CT01,Jalan Raya M. Toha (Karawaci),894168973,,0,126.9,residential,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
CT01,Jalan Raya M. Toha (Karawaci),562964254,,0,126.5,residential,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
CT01,Jalan Raya M. Toha (Karawaci),562964073,,0,116.3,living_street,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
CT01,Jalan Raya M. Toha (Karawaci),565201284,Gang Toha 1,0,116.0,living_street,,,,,,,volume/speed/congestion kosong: data lalu lintas nyata belum tersedia
