id_pengaduan,expected_id_segmen,expected_category,expected_indication,expected_road_related,expected_duplicate_group,expected_is_duplicate,is_simulation
151001,S00,jalan_rusak,lubang,True,DG-S00-01,False,True
151002,S00,jalan_rusak,lubang,True,DG-S00-01,True,True
151003,S00,jalan_rusak,lubang,True,DG-S00-01,True,True
151004,S00,jalan_rusak,lubang,True,DG-S00-01,True,True
151005,S01,jalan_rusak,retak,True,DG-S01-01,False,True
151006,S01,jalan_rusak,retak,True,DG-S01-01,True,True
151007,S01,jalan_rusak,retak,True,DG-S01-01,True,True
151008,S01,jalan_rusak,retak,True,DG-S01-01,True,True
151009,S02,jalan_rusak,aspal_mengelupas,True,DG-S02-01,False,True
151010,S02,jalan_rusak,aspal_mengelupas,True,DG-S02-01,True,True
151011,S02,jalan_rusak,aspal_mengelupas,True,DG-S02-01,True,True
151012,S02,jalan_rusak,aspal_mengelupas,True,DG-S02-01,True,True
151013,S03,jalan_rusak,permukaan_bergelombang,True,DG-S03-01,False,True
151014,S03,jalan_rusak,permukaan_bergelombang,True,DG-S03-01,True,True
151015,S03,jalan_rusak,permukaan_bergelombang,True,DG-S03-01,True,True
151016,S03,jalan_rusak,permukaan_bergelombang,True,DG-S03-01,True,True
151017,S04,jalan_rusak,lubang,True,DG-S04-01,False,True
151018,S04,jalan_rusak,lubang,True,DG-S04-01,True,True
151019,S04,jalan_rusak,lubang,True,DG-S04-01,True,True
151020,S04,jalan_rusak,lubang,True,DG-S04-01,True,True
151021,S05,jalan_rusak,retak,True,DG-S05-01,False,True
151022,S05,jalan_rusak,retak,True,DG-S05-01,True,True
151023,S05,jalan_rusak,retak,True,DG-S05-01,True,True
151024,S05,jalan_rusak,retak,True,DG-S05-01,True,True
151025,S06,jalan_rusak,aspal_mengelupas,True,DG-S06-01,False,True
151026,S06,jalan_rusak,aspal_mengelupas,True,DG-S06-01,True,True
151027,S06,jalan_rusak,aspal_mengelupas,True,DG-S06-01,True,True
151028,S06,jalan_rusak,aspal_mengelupas,True,DG-S06-01,True,True
151029,S07,jalan_rusak,permukaan_bergelombang,True,DG-S07-01,False,True
151030,S07,jalan_rusak,permukaan_bergelombang,True,DG-S07-01,True,True
151031,S07,jalan_rusak,permukaan_bergelombang,True,DG-S07-01,True,True
151032,S07,jalan_rusak,permukaan_bergelombang,True,DG-S07-01,True,True
151033,S08,jalan_rusak,lubang,True,DG-S08-01,False,True
151034,S08,jalan_rusak,lubang,True,DG-S08-01,True,True
151035,S08,jalan_rusak,lubang,True,DG-S08-01,True,True
151036,S08,jalan_rusak,lubang,True,DG-S08-01,True,True
151037,S09,jalan_rusak,retak,True,DG-S09-01,False,True
151038,S09,jalan_rusak,retak,True,DG-S09-01,True,True
151039,S09,jalan_rusak,retak,True,DG-S09-01,True,True
151040,S09,jalan_rusak,retak,True,DG-S09-01,True,True
151041,S10,jalan_rusak,aspal_mengelupas,True,DG-S10-01,False,True
151042,S10,jalan_rusak,aspal_mengelupas,True,DG-S10-01,True,True
151043,S10,jalan_rusak,aspal_mengelupas,True,DG-S10-01,True,True
151044,S10,jalan_rusak,aspal_mengelupas,True,DG-S10-01,True,True
151045,S11,jalan_rusak,permukaan_bergelombang,True,DG-S11-01,False,True
151046,S11,jalan_rusak,permukaan_bergelombang,True,DG-S11-01,True,True
151047,S11,jalan_rusak,permukaan_bergelombang,True,DG-S11-01,True,True
151048,S11,jalan_rusak,permukaan_bergelombang,True,DG-S11-01,True,True
151049,S12,jalan_rusak,lubang,True,DG-S12-01,False,True
151050,S12,jalan_rusak,lubang,True,DG-S12-01,True,True
151051,S12,jalan_rusak,lubang,True,DG-S12-01,True,True
151052,S12,jalan_rusak,lubang,True,DG-S12-01,True,True
151053,S13,jalan_rusak,retak,True,DG-S13-01,False,True
151054,S13,jalan_rusak,retak,True,DG-S13-01,True,True
151055,S13,jalan_rusak,retak,True,DG-S13-01,True,True
151056,S13,jalan_rusak,retak,True,DG-S13-01,True,True
151057,S14,jalan_rusak,aspal_mengelupas,True,DG-S14-01,False,True
151058,S14,jalan_rusak,aspal_mengelupas,True,DG-S14-01,True,True
151059,S14,jalan_rusak,aspal_mengelupas,True,DG-S14-01,True,True
151060,S14,jalan_rusak,aspal_mengelupas,True,DG-S14-01,True,True
151061,S15,jalan_rusak,permukaan_bergelombang,True,DG-S15-01,False,True
151062,S15,jalan_rusak,permukaan_bergelombang,True,DG-S15-01,True,True
151063,S15,jalan_rusak,permukaan_bergelombang,True,DG-S15-01,True,True
151064,S15,jalan_rusak,permukaan_bergelombang,True,DG-S15-01,True,True
151065,S16,jalan_rusak,lubang,True,DG-S16-01,False,True
151066,S16,jalan_rusak,lubang,True,DG-S16-01,True,True
151067,S16,jalan_rusak,lubang,True,DG-S16-01,True,True
151068,S16,jalan_rusak,lubang,True,DG-S16-01,True,True
151069,S17,jalan_rusak,retak,True,DG-S17-01,False,True
151070,S17,jalan_rusak,retak,True,DG-S17-01,True,True
151071,S17,jalan_rusak,retak,True,DG-S17-01,True,True
151072,S17,jalan_rusak,retak,True,DG-S17-01,True,True
151073,S18,jalan_rusak,aspal_mengelupas,True,DG-S18-01,False,True
151074,S18,jalan_rusak,aspal_mengelupas,True,DG-S18-01,True,True
151075,S18,jalan_rusak,aspal_mengelupas,True,DG-S18-01,True,True
151076,S18,jalan_rusak,aspal_mengelupas,True,DG-S18-01,True,True
151077,S19,jalan_rusak,permukaan_bergelombang,True,DG-S19-01,False,True
151078,S19,jalan_rusak,permukaan_bergelombang,True,DG-S19-01,True,True
151079,S19,jalan_rusak,permukaan_bergelombang,True,DG-S19-01,True,True
151080,S19,jalan_rusak,permukaan_bergelombang,True,DG-S19-01,True,True
151081,,drainase,drainase,False,,False,True
151082,,utilitas_tiang,utilitas_tiang,False,,False,True
151083,,pju,pju,False,,False,True
151084,,pohon,pohon,False,,False,True
151085,,trotoar,trotoar,False,,False,True
151086,,drainase,drainase,False,,False,True
151087,,utilitas_tiang,utilitas_tiang,False,,False,True
151088,,pju,pju,False,,False,True
151089,,pohon,pohon,False,,False,True
151090,,trotoar,trotoar,False,,False,True
151091,,drainase,drainase,False,,False,True
151092,,utilitas_tiang,utilitas_tiang,False,,False,True
151093,,pju,pju,False,,False,True
151094,,pohon,pohon,False,,False,True
151095,,trotoar,trotoar,False,,False,True
151096,,drainase,drainase,False,,False,True
151097,,utilitas_tiang,utilitas_tiang,False,,False,True
151098,,pju,pju,False,,False,True
151099,,pohon,pohon,False,,False,True
151100,,trotoar,trotoar,False,,False,True
