rank,id_segmen,nama_jalan,saw_score,tingkat_kerusakan,dampak_akses,peran_jalan,panjang_rusak_m,jumlah_laporan_valid,fasilitas_kritis,lama_tidak_ditangani_hari,rekomendasi,is_simulation
1,S11,Jalan simulasi Tangerang 11,0.8679,4,3,3,86,2,3,151,prioritas_top_10,True
2,S13,Jalan simulasi Tangerang 13,0.8626,5,3,2,98,2,1,173,prioritas_top_10,True
3,S19,Jalan simulasi Tangerang 19,0.8300,3,3,2,134,2,3,239,prioritas_top_10,True
4,S17,Jalan simulasi Tangerang 17,0.7686,2,3,3,122,2,1,217,prioritas_top_10,True
5,S03,Jalan simulasi Tangerang 03,0.7557,5,3,1,38,2,3,63,prioritas_top_10,True
6,S18,Jalan simulasi Tangerang 18,0.7410,5,1,1,128,2,2,228,prioritas_top_10,True
7,S08,Jalan simulasi Tangerang 08,0.7175,5,1,3,68,2,0,118,prioritas_top_10,True
8,S01,Jalan simulasi Tangerang 01,0.6943,4,3,2,26,2,1,41,prioritas_top_10,True
9,S14,Jalan simulasi Tangerang 14,0.6849,3,1,3,104,2,2,184,prioritas_top_10,True
10,S16,Jalan simulasi Tangerang 16,0.6796,4,1,2,116,2,0,206,prioritas_top_10,True
11,S07,Jalan simulasi Tangerang 07,0.6618,2,3,2,62,2,3,107,cadangan,True
12,S09,Jalan simulasi Tangerang 09,0.6565,3,3,1,74,2,1,129,cadangan,True
13,S15,Jalan simulasi Tangerang 15,0.6239,1,3,1,110,2,3,195,cadangan,True
14,S05,Jalan simulasi Tangerang 05,0.6004,1,3,3,50,2,1,85,cadangan,True
15,S06,Jalan simulasi Tangerang 06,0.5728,4,1,1,56,2,2,96,cadangan,True
16,S02,Jalan simulasi Tangerang 02,0.5167,2,1,3,32,2,2,52,cadangan,True
17,S04,Jalan simulasi Tangerang 04,0.5114,3,1,2,44,2,0,74,cadangan,True
18,S10,Jalan simulasi Tangerang 10,0.4788,1,1,2,80,2,2,140,cadangan,True
19,S12,Jalan simulasi Tangerang 12,0.4735,2,1,1,92,2,0,162,cadangan,True
20,S00,Jalan simulasi Tangerang 00,0.3053,1,1,1,20,2,0,30,cadangan,True
