id_node,latitude,longitude,is_simulation
N00,-6.18,106.51,True
N01,-6.18,106.535,True
N02,-6.18,106.56,True
N03,-6.18,106.585,True
N04,-6.18,106.61,True
N05,-6.162,106.51,True
N06,-6.162,106.535,True
N07,-6.162,106.56,True
N08,-6.162,106.585,True
N09,-6.162,106.61,True
N10,-6.144,106.51,True
N11,-6.144,106.535,True
N12,-6.144,106.56,True
N13,-6.144,106.585,True
N14,-6.144,106.61,True
N15,-6.126,106.51,True
N16,-6.126,106.535,True
N17,-6.126,106.56,True
N18,-6.126,106.585,True
N19,-6.126,106.61,True
N20,-6.108,106.51,True
N21,-6.108,106.535,True
N22,-6.108,106.56,True
N23,-6.108,106.585,True
N24,-6.108,106.61,True
