id_penilaian,id_segmen,tanggal,kerusakan,dampak_akses,peran_jalan,panjang_rusak_m,penilai,is_simulation
V00,S00,2026-09-09,1,1,1,20,PETUGAS_SIMULASI,True
V01,S01,2026-09-09,2,2,2,25,PETUGAS_SIMULASI,True
V02,S02,2026-09-09,3,3,3,30,PETUGAS_SIMULASI,True
V03,S03,2026-09-09,4,4,1,35,PETUGAS_SIMULASI,True
V04,S04,2026-09-09,5,1,2,40,PETUGAS_SIMULASI,True
V05,S05,2026-09-09,1,2,3,45,PETUGAS_SIMULASI,True
V06,S06,2026-09-09,2,3,1,50,PETUGAS_SIMULASI,True
V07,S07,2026-09-09,3,4,2,55,PETUGAS_SIMULASI,True
V08,S08,2026-09-09,4,1,3,60,PETUGAS_SIMULASI,True
V09,S09,2026-09-09,5,2,1,65,PETUGAS_SIMULASI,True
V10,S10,2026-09-09,1,3,2,70,PETUGAS_SIMULASI,True
V11,S11,2026-09-09,2,4,3,75,PETUGAS_SIMULASI,True
V12,S12,2026-09-09,3,1,1,80,PETUGAS_SIMULASI,True
V13,S13,2026-09-09,4,2,2,85,PETUGAS_SIMULASI,True
V14,S14,2026-09-09,5,3,3,90,PETUGAS_SIMULASI,True
V15,S15,2026-09-09,1,4,1,95,PETUGAS_SIMULASI,True
V16,S16,2026-09-09,2,1,2,100,PETUGAS_SIMULASI,True
V17,S17,2026-09-09,3,2,3,105,PETUGAS_SIMULASI,True
V18,S18,2026-09-09,4,3,1,110,PETUGAS_SIMULASI,True
V19,S19,2026-09-09,5,4,2,115,PETUGAS_SIMULASI,True
