id_segmen,from_node,to_node,nama,panjang_m,arah,lebar_m,jumlah_lajur,kendaraan,kewenangan,surface,is_simulation
S00,N00,N01,Jalan simulasi Tangerang 00,2764,both,4,1,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S01,N00,N05,Jalan simulasi Tangerang 01,2002,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S02,N01,N02,Jalan simulasi Tangerang 02,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S03,N01,N06,Jalan simulasi Tangerang 03,2002,forward,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S04,N02,N03,Jalan simulasi Tangerang 04,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S05,N02,N07,Jalan simulasi Tangerang 05,2002,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S06,N03,N04,Jalan simulasi Tangerang 06,2764,both,7,2,motor,belum_diverifikasi,aspal_simulasi,True
S07,N03,N08,Jalan simulasi Tangerang 07,2002,both,4,1,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S08,N04,N09,Jalan simulasi Tangerang 08,2002,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S09,N05,N06,Jalan simulasi Tangerang 09,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S10,N05,N10,Jalan simulasi Tangerang 10,2002,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S11,N06,N07,Jalan simulasi Tangerang 11,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S12,N06,N11,Jalan simulasi Tangerang 12,2002,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S13,N07,N08,Jalan simulasi Tangerang 13,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S14,N07,N12,Jalan simulasi Tangerang 14,2002,both,4,1,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S15,N08,N09,Jalan simulasi Tangerang 15,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S16,N08,N13,Jalan simulasi Tangerang 16,2002,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S17,N09,N14,Jalan simulasi Tangerang 17,2002,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S18,N10,N11,Jalan simulasi Tangerang 18,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S19,N10,N15,Jalan simulasi Tangerang 19,2002,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S20,N11,N12,Jalan simulasi Tangerang 20,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S21,N11,N16,Jalan simulasi Tangerang 21,2002,both,4,1,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S22,N12,N13,Jalan simulasi Tangerang 22,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S23,N12,N17,Jalan simulasi Tangerang 23,2002,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S24,N13,N14,Jalan simulasi Tangerang 24,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S25,N13,N18,Jalan simulasi Tangerang 25,2002,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S26,N14,N19,Jalan simulasi Tangerang 26,2002,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S27,N15,N16,Jalan simulasi Tangerang 27,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S28,N15,N20,Jalan simulasi Tangerang 28,2002,both,4,1,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S29,N16,N17,Jalan simulasi Tangerang 29,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S30,N16,N21,Jalan simulasi Tangerang 30,2002,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S31,N17,N18,Jalan simulasi Tangerang 31,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S32,N17,N22,Jalan simulasi Tangerang 32,2002,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S33,N18,N19,Jalan simulasi Tangerang 33,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S34,N18,N23,Jalan simulasi Tangerang 34,2002,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S35,N19,N24,Jalan simulasi Tangerang 35,2002,both,4,1,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S36,N20,N21,Jalan simulasi Tangerang 36,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S37,N21,N22,Jalan simulasi Tangerang 37,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S38,N22,N23,Jalan simulasi Tangerang 38,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
S39,N23,N24,Jalan simulasi Tangerang 39,2764,both,7,2,mobil;motor,belum_diverifikasi,aspal_simulasi,True
