id_survey,id_segmen,tanggal_survey,tingkat_kerusakan,jenis_kerusakan,panjang_rusak_m,dampak_akses,peran_jalan,fasilitas_kritis,lama_tidak_ditangani_hari,penilai,status_verifikasi,is_simulation
SV-000,S00,2026-09-09,1,lubang,20,1,1,0,30,PETUGAS_SIMULASI,verified,True
SV-001,S01,2026-09-09,4,retak,26,3,2,1,41,PETUGAS_SIMULASI,verified,True
SV-002,S02,2026-09-09,2,aspal_mengelupas,32,1,3,2,52,PETUGAS_SIMULASI,verified,True
SV-003,S03,2026-09-09,5,gelombang,38,3,1,3,63,PETUGAS_SIMULASI,verified,True
SV-004,S04,2026-09-09,3,genangan,44,1,2,0,74,PETUGAS_SIMULASI,verified,True
SV-005,S05,2026-09-09,1,lubang,50,3,3,1,85,PETUGAS_SIMULASI,verified,True
SV-006,S06,2026-09-09,4,retak,56,1,1,2,96,PETUGAS_SIMULASI,verified,True
SV-007,S07,2026-09-09,2,aspal_mengelupas,62,3,2,3,107,PETUGAS_SIMULASI,verified,True
SV-008,S08,2026-09-09,5,gelombang,68,1,3,0,118,PETUGAS_SIMULASI,verified,True
SV-009,S09,2026-09-09,3,genangan,74,3,1,1,129,PETUGAS_SIMULASI,verified,True
SV-010,S10,2026-09-09,1,lubang,80,1,2,2,140,PETUGAS_SIMULASI,verified,True
SV-011,S11,2026-09-09,4,retak,86,3,3,3,151,PETUGAS_SIMULASI,verified,True
SV-012,S12,2026-09-09,2,aspal_mengelupas,92,1,1,0,162,PETUGAS_SIMULASI,verified,True
SV-013,S13,2026-09-09,5,gelombang,98,3,2,1,173,PETUGAS_SIMULASI,verified,True
SV-014,S14,2026-09-09,3,genangan,104,1,3,2,184,PETUGAS_SIMULASI,verified,True
SV-015,S15,2026-09-09,1,lubang,110,3,1,3,195,PETUGAS_SIMULASI,verified,True
SV-016,S16,2026-09-09,4,retak,116,1,2,0,206,PETUGAS_SIMULASI,verified,True
SV-017,S17,2026-09-09,2,aspal_mengelupas,122,3,3,1,217,PETUGAS_SIMULASI,verified,True
SV-018,S18,2026-09-09,5,gelombang,128,1,1,2,228,PETUGAS_SIMULASI,verified,True
SV-019,S19,2026-09-09,3,genangan,134,3,2,3,239,PETUGAS_SIMULASI,verified,True
