id_segmen,arah,mulai,selesai,volume_mobil_per_jam,kapasitas_mobil_per_jam,unit,sumber,is_simulation
S00,forward,2026-09-10T07:00:00+07:00,2026-09-10T08:00:00+07:00,150,800,mobil_penumpang/jam/arah,asumsi_sintetis,True
S00,forward,2026-09-10T12:00:00+07:00,2026-09-10T13:00:00+07:00,150,800,mobil_penumpang/jam/arah,asumsi_sintetis,True
S00,forward,2026-09-10T17:00:00+07:00,2026-09-10T18:00:00+07:00,150,800,mobil_penumpang/jam/arah,asumsi_sintetis,True
S00,reverse,2026-09-10T07:00:00+07:00,2026-09-10T08:00:00+07:00,150,800,mobil_penumpang/jam/arah,asumsi_sintetis,True
S00,reverse,2026-09-10T12:00:00+07:00,2026-09-10T13:00:00+07:00,150,800,mobil_penumpang/jam/arah,asumsi_sintetis,True
S00,reverse,2026-09-10T17:00:00+07:00,2026-09-10T18:00:00+07:00,150,800,mobil_penumpang/jam/arah,asumsi_sintetis,True
S01,forward,2026-09-10T07:00:00+07:00,2026-09-10T08:00:00+07:00,158,800,mobil_penumpang/jam/arah,asumsi_sintetis,True
S01,forward,2026-09-10T12:00:00+07:00,2026-09-10T13:00:00+07:00,158,800,mobil_penumpang/jam/arah,asumsi_sintetis,True
S01,forward,2026-09-10T17:00:00+07:00,2026-09-10T18:00:00+07:00,158,800,mobil_penumpang/jam/arah,asumsi_sintetis,True
S01,reverse,2026-09-10T07:00:00+07:00,2026-09-10T08:00:00+07:00,158,800,mobil_penumpang/jam/arah,asumsi_sintetis,True
S01,reverse,2026-09-10T12:00:00+07:00,2026-09-10T13:00:00+07:00,158,800,mobil_penumpang/jam/arah,asumsi_sintetis,True
S01,reverse,2026-09-10T17:00:00+07:00,2026-09-10T18:00:00+07:00,158,800,mobil_penumpang/jam/arah,asumsi_sintetis,True
S02,forward,2026-09-10T07:00:00+07:00,2026-09-10T08:00:00+07:00,166,800,mobil_penumpang/jam/arah,asumsi_sintetis,True
S02,forward,2026-09-10T12:00:00+07:00,2026-09-10T13:00:00+07:00,166,800,mobil_penumpang/jam/arah,asumsi_sintetis,True
