id_event,source_pekerjaan,target_segment,hop_dari_pekerjaan,direction,jam,jam_sibuk,jenis_pembatasan,lajur_ditutup,kapasitas_veh_jam,volume_baseline,speed_baseline,fasilitas_aktif,pekerjaan_lain_overlap,delta_volume,delta_speed,congestion,is_simulation
RV01,S01,S01,0,forward,16:00,1,tutup_total,2,800,238,37.6,1,1,-238,-37.6,1,True
RV01,S01,S01,0,forward,17:00,1,tutup_total,2,800,250,37.3,1,1,-250,-37.3,1,True
RV01,S01,S01,0,reverse,16:00,1,tutup_total,2,800,252,37.2,1,1,-252,-37.2,1,True
RV01,S01,S01,0,reverse,17:00,1,tutup_total,2,800,223,38.1,1,1,-223,-38.1,1,True
RV01,S01,S00,1,forward,16:00,1,tutup_total,2,400,230,20.5,1,0,69,-8.5,1,True
RV01,S01,S00,1,forward,17:00,1,tutup_total,2,400,217,21.1,1,0,84,-9.1,1,True
RV01,S01,S00,1,reverse,16:00,1,tutup_total,2,400,224,20.8,1,0,76,-8.8,1,True
RV01,S01,S00,1,reverse,17:00,1,tutup_total,2,400,224,20.8,1,0,78,-8.8,1,True
RV01,S01,S09,1,forward,16:00,1,tutup_total,2,800,336,34.6,1,1,60,-14.3,0,True
RV01,S01,S09,1,forward,17:00,1,tutup_total,2,800,331,34.8,1,1,47,-14.2,0,True
RV01,S01,S09,1,reverse,16:00,1,tutup_total,2,800,329,34.9,1,1,75,-14.8,0,True
RV01,S01,S09,1,reverse,17:00,1,tutup_total,2,800,345,34.3,1,1,46,-14.0,0,True
RV01,S01,S10,1,forward,16:00,1,tutup_total,2,800,356,34.0,1,0,166,-16.3,1,True
RV01,S01,S10,1,forward,17:00,1,tutup_total,2,800,347,34.2,1,0,166,-16.3,1,True
RV01,S01,S10,1,reverse,16:00,1,tutup_total,2,800,354,34.0,1,0,163,-16.1,1,True
RV01,S01,S10,1,reverse,17:00,1,tutup_total,2,800,331,34.8,1,0,177,-16.8,1,True
RV02,S09,S09,0,forward,16:00,1,lajur_ditutup,1,800,336,34.6,1,1,63,-15.7,0,True
RV02,S09,S09,0,forward,17:00,1,lajur_ditutup,1,800,331,34.8,1,1,32,-15.3,0,True
RV02,S09,S09,0,reverse,16:00,1,lajur_ditutup,1,800,329,34.9,1,1,63,-15.9,0,True
RV02,S09,S09,0,reverse,17:00,1,lajur_ditutup,1,800,345,34.3,1,1,31,-15.1,0,True
RV02,S09,S01,1,forward,16:00,1,lajur_ditutup,1,800,238,37.6,1,1,-238,-37.6,1,True
RV02,S09,S01,1,forward,17:00,1,lajur_ditutup,1,800,250,37.3,1,1,-250,-37.3,1,True
RV02,S09,S01,1,reverse,16:00,1,lajur_ditutup,1,800,252,37.2,1,1,-252,-37.2,1,True
RV02,S09,S01,1,reverse,17:00,1,lajur_ditutup,1,800,223,38.1,1,1,-223,-38.1,1,True
RV02,S09,S10,1,forward,16:00,1,lajur_ditutup,1,800,356,34.0,1,0,220,-18.7,1,True
RV02,S09,S10,1,forward,17:00,1,lajur_ditutup,1,800,347,34.2,1,0,239,-19.1,1,True
RV02,S09,S10,1,reverse,16:00,1,lajur_ditutup,1,800,354,34.0,1,0,245,-19.1,1,True
RV02,S09,S10,1,reverse,17:00,1,lajur_ditutup,1,800,331,34.8,1,0,228,-19.1,1,True
RV02,S09,S03,1,forward,16:00,1,lajur_ditutup,1,800,260,36.9,1,0,64,-7.9,0,True
RV02,S09,S03,1,forward,17:00,1,lajur_ditutup,1,800,249,37.3,1,0,85,-8.5,0,True
RV02,S09,S11,1,forward,16:00,1,lajur_ditutup,1,800,338,34.5,1,0,75,-7.8,0,True
RV02,S09,S11,1,forward,17:00,1,lajur_ditutup,1,800,337,34.6,1,0,105,-8.6,0,True
RV02,S09,S11,1,reverse,16:00,1,lajur_ditutup,1,800,339,34.5,1,0,72,-7.7,0,True
RV02,S09,S11,1,reverse,17:00,1,lajur_ditutup,1,800,346,34.3,1,0,83,-7.9,0,True
